name,recclass,surclass,mass (g),fall,date,year,reclat,reclong
Graves Nunataks 98028,Acapulcoite,ACH,22.4,Found,1/1/1998,1998,-86.72,-141.5
LaPaz Icefield 02233,Aubrite,AUB,18.1,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 03780,Aubrite,AUB,21.81,Found,1/1/2003,2003,-86.37,-70
LaPaz Icefield 031372,Aubrite,AUB,17.61,Found,1/1/2003,2003,-86.37,-70
LaPaz Icefield 031269,Aubrite,AUB,12.93,Found,1/1/2003,2003,-86.37,-70
LaPaz Icefield 03719,Aubrite-an,AUB,62.02,Found,1/1/2003,2003,-86.37,-70
Pecora Escarpment 01026,Acapulcoite,ACH,29,Found,1/1/2002,2002,-85.65,-68.57
Thiel Mountains 07012,Acapulcoite,ACH,30,Found,1/1/2007,2007,-85.17,-94.72
Thiel Mountains 99002,Acapulcoite,ACH,44.3,Found,1/1/2000,2000,-85.16,-94.57
Queen Alexandra Range 93148,Achondrite-ung,ACH,1.1,Found,1/1/1993,1993,-84.58,162.57
Lewis Cliff 87051,Angrite,ANG,0.6,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87018,Aubrite,AUB,1.2,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87019,Aubrite,AUB,0.5,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87056,Aubrite,AUB,0.1,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87294,Aubrite,AUB,3.9,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87007,Aubrite,AUB,3.2,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87020,Aubrite,AUB,1.9,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87017,Aubrite,AUB,1.3,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87011,Aubrite,AUB,1,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87021,Aubrite,AUB,0.5,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87013,Aubrite,AUB,0.2,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 86220,Acapulcoite/Lodranite,ACH,25,Found,1/1/1986,1986,-84.25,161.35
Lewis Cliff 88763,Brachinite,BRA,4.1,Found,1/1/1988,1988,-84.25,161.4
Lewis Cliff 86010,Angrite,ANG,6.9,Found,1/1/1986,1986,-84.24,161.54
Queen Alexandra Range 97289,Aubrite-an,AUB,51.9,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97348,Aubrite-an,AUB,50.7,Found,1/1/1997,1997,-84,168
Meteorite Hills 01195,Acapulcoite,ACH,98.7,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01198,Acapulcoite,ACH,98.5,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01244,Acapulcoite,ACH,76.5,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01212,Acapulcoite,ACH,31.4,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01232,Acapulcoite,ACH,7.6,Found,1/1/2001,2001,-79.68,159.75
Allan Hills 84025,Brachinite,BRA,4.6,Found,1/1/1984,1984,-77.02,157.03
Allan Hills 84023,Aubrite,AUB,262.4,Found,1/1/1984,1984,-76.9,158.58
Allan Hills 84013,Aubrite,AUB,159.9,Found,1/1/1984,1984,-76.9,158.59
Allan Hills 84010,Aubrite,AUB,303,Found,1/1/1984,1984,-76.89,158.61
Allan Hills 84007,Aubrite,AUB,705.6,Found,1/1/1984,1984,-76.88,158.5
Allan Hills 84012,Aubrite,AUB,224.7,Found,1/1/1984,1984,-76.88,158.53
Allan Hills 84008,Aubrite,AUB,301.6,Found,1/1/1984,1984,-76.88,158.58
Allan Hills 84016,Aubrite,AUB,149.7,Found,1/1/1984,1984,-76.88,158.59
Allan Hills 84015,Aubrite,AUB,263.9,Found,1/1/1984,1984,-76.88,158.6
Allan Hills 84011,Aubrite,AUB,138.2,Found,1/1/1984,1984,-76.88,158.62
Allan Hills 84017,Aubrite,AUB,79.8,Found,1/1/1984,1984,-76.88,158.66
Allan Hills 84014,Aubrite,AUB,49.4,Found,1/1/1984,1984,-76.88,158.68
Allan Hills 84009,Aubrite,AUB,335.6,Found,1/1/1984,1984,-76.87,158.52
Allan Hills 84024,Aubrite,AUB,194.4,Found,1/1/1984,1984,-76.87,158.54
Allan Hills 84020,Aubrite,AUB,191.1,Found,1/1/1984,1984,-76.87,158.54
Allan Hills 84018,Aubrite,AUB,81.7,Found,1/1/1984,1984,-76.86,158.52
Allan Hills 84019,Aubrite,AUB,93.2,Found,1/1/1984,1984,-76.85,158.51
Allan Hills 84021,Aubrite,AUB,35.7,Found,1/1/1984,1984,-76.85,158.51
Allan Hills 83015,Aubrite,AUB,3.1,Found,1/1/1983,1983,-76.82,158.21
Allan Hills 83009,Aubrite,AUB,1.7,Found,1/1/1983,1983,-76.82,158.21
Allan Hills 84022,Aubrite,AUB,12.5,Found,1/1/1984,1984,-76.77,158.81
Allan Hills A77081,Acapulcoite,ACH,8.6,Found,1/1/1977,1977,-76.72,159.67
Allan Hills A78230,Acapulcoite,ACH,3.87,Found,1/1/1977,1977,-76.72,159.67
Allan Hills A78113,Aubrite,AUB,298.6,Found,1/1/1978,1978,-76.72,159.67
Allan Hills A81187,Acapulcoite,ACH,40,Found,1/1/1981,1981,-76.69,159.32
Allan Hills A81315,Acapulcoite,ACH,2.5,Found,1/1/1981,1981,-76.69,159.37
Allan Hills A81261,Acapulcoite,ACH,11.8,Found,1/1/1981,1981,-76.69,159.39
Allan Hills 84190,Acapulcoite,ACH,7.9,Found,1/1/1984,1984,-76.68,159.34
Elephant Moraine 90033,Aubrite,AUB,3.9,Found,1/1/1990,1990,-76.29,156.44
Elephant Moraine 90757,Aubrite,AUB,3.7,Found,1/1/1990,1990,-76.29,156.5
Elephant Moraine 84302,Acapulcoite/Lodranite,ACH,59.6,Found,1/1/1984,1984,-76.28,157.18
Elephant Moraine 99402,Brachinite,BRA,180.5,Found,1/1/1999,1999,-76.18,157.17
Elephant Moraine 99407,Brachinite,BRA,60,Found,1/1/1999,1999,-76.18,157.17
Frontier Mountain 95029,Acapulcoite,ACH,8.3,Found,1/1/1995,1995,-72.99,160.42
Frontier Mountain 93001,Acapulcoite/Lodranite,ACH,4.86,Found,1/1/1993,1993,-72.96,160.49
Grove Mountains 021663,Acapulcoite,ACH,2.19,Found,1/1/2003,2003,-72.77,75.34
Asuka 881902,Acapulcoite,ACH,907.87,Found,1/1/1988,1988,-72,26
Asuka 881548,Achondrite-ung,ACH,110.16,Found,1/1/1988,1988,-72,26
Asuka 881371,Angrite,ANG,11.27,Found,1/1/1988,1988,-72,26
Yamato 74063,Acapulcoite,ACH,35.41,Found,1/1/1974,1974,-71.5,35.67
Yamato 8307,Achondrite-ung,ACH,3.37,Found,1/1/1983,1983,-71.5,35.67
Yamato 793592,Aubrite,AUB,31.99,Found,1/1/1979,1979,-71.5,35.67
D'Orbigny,Angrite,ANG,16550,Found,1/1/1979,1979,-37.67,-61.65
Brachina,Brachinite,BRA,202.9,Found,1/1/1974,1974,-31.3,138.38
Reid 027,Brachinite,BRA,19.7,Found,1/1/1991,1991,-30.32,128.37
Reid 013,Brachinite,BRA,330,Found,1/1/1991,1991,-30.08,128.92
Hughes 026,Brachinite,BRA,360,Found,1/1/1995,1995,-30,129.17
El Médano 096,Acapulcoite,ACH,11.1,Found,1/1/2011,2011,-24.85,-70.53
Mount Egerton,Aubrite-an,AUB,22000,Found,1/1/1941,1941,-24.77,117.7
Angra dos Reis (stone),Angrite,ANG,1500,Fell,1/1/1869,1869,-22.97,-44.32
Mayo Belwa,Aubrite,AUB,4850,Fell,1/1/1974,1974,8.97,12.08
Khor Temiki,Aubrite,AUB,3200,Fell,1/1/1932,1932,16,36
Acapulco,Acapulcoite,ACH,1914,Fell,1/1/1976,1976,16.88,-99.9
Dhofar 1222,Acapulcoite,ACH,93,Found,1/1/2003,2003,18.2,54.06
Dhofar 500,Achondrite-ung,ACH,116,Found,1/1/2000,2000,18.39,54.2
Dhofar 1441,Achondrite-ung,ACH,267.8,Found,1/1/2003,2003,18.44,54.48
Dhofar 125,Acapulcoite,ACH,2697,Found,1/1/2000,2000,18.99,54.6
Dhofar 312,Acapulcoite,ACH,354,Found,1/1/2001,2001,18.99,54.61
Dhofar 290,Acapulcoite,ACH,62,Found,1/1/2001,2001,19.32,54.84
Dhofar 732,Achondrite-ung,ACH,17,Found,1/1/2002,2002,19.41,54.58
Sayh al Uhaymir 493,Achondrite-ung,ACH,134,Found,1/1/2009,2009,20.53,57.3
Ramlat as Sahmah 309,Brachinite,BRA,1435.43,Found,1/1/2009,2009,20.77,55.44
Al Huwaysah 010,Achondrite-ung,ACH,1411.8,Found,1/1/2010,2010,22.75,55.47
Yabrin 003,Acapulcoite,ACH,21.048,Found,1/1/2008,2008,23.32,48.63
Great Sand Sea 032,Acapulcoite,ACH,8.3,Found,1/1/2006,2006,26.19,25.46
Bustee,Aubrite,AUB,1500,Fell,1/1/1852,1852,26.78,82.83
Dar al Gani 962,Achondrite-ung,ACH,130,Found,1/1/1998,1998,27.2,16.41
Al Haggounia 001,Aubrite,AUB,3000000,Found,1/1/2006,2006,27.5,-12.5
Peña Blanca Spring,Aubrite,AUB,70000,Fell,1/1/1946,1946,30.13,-103.12
Northwest Africa 4590,Angrite,ANG,212.8,Found,1/1/2006,2006,30.32,-4.94
Northwest Africa 725,Acapulcoite,ACH,3824,Found,,,30.6,-5.05
Northwest Africa 011,Achondrite-ung,ACH,40,Found,1/1/1999,1999,31.33,-4.33
Monument Draw,Acapulcoite,ACH,524.5,Found,1/1/1985,1985,32.5,-102.74
Shallowater,Aubrite,AUB,4650,Found,1/1/1936,1936,33.7,-101.93
Bishopville,Aubrite,AUB,6000,Fell,1/1/1843,1843,34.17,-80.28
Superior Valley 014,Acapulcoite,ACH,1.77,Found,1/1/2002,2002,35.24,-117.04
Cumberland Falls,Aubrite,AUB,17000,Fell,1/1/1919,1919,36.83,-84.35
Larned,Aubrite-an,AUB,28100,Found,1/1/1977,1977,38.2,-99.16
Norton County,Aubrite,AUB,1100000,Fell,1/1/1948,1948,39.68,-99.87
Silistra,Achondrite-ung,ACH,0.15,Fell,1/1/1917,1917,44.12,27.27
Aubres,Aubrite,AUB,800,Fell,1/1/1836,1836,44.38,5.17
Divnoe,Achondrite-ung,ACH,12700,Found,1/1/1981,1981,45.7,43.7
Pesyanoe,Aubrite,AUB,3393,Fell,1/1/1933,1933,55.5,66.08
Cape of Good Hope,Iron IVB,ATAX,136000,Found,1/1/1793,1793,-33.5,26
Ternera,Iron IVB,ATAX,1980,Found,1/1/1891,1891,-27.33,-69.8
Warburton Range,Iron IVB,ATAX,56930,Found,1/1/1963,1963,-26.28,126.67
Catalina 003,Iron IVB,ATAX,3180,Found,1/1/1999,1999,-25.2,-69.83
Iquique,Iron IVB,ATAX,12500,Found,1/1/1871,1871,-20.18,-69.73
Tawallah Valley,Iron IVB,ATAX,75750,Found,1/1/1939,1939,-15.7,135.67
Tlacotepec,Iron IVB,ATAX,71000,Found,1/1/1903,1903,18.65,-97.55
Santa Clara,Iron IVB,ATAX,63000,Found,1/1/1976,1976,24.47,-103.35
Tinnie,Iron IVB,ATAX,15300,Found,1/1/1978,1978,33.38,-105.25
Dumont,Iron IVB,ATAX,27420,Found,1/1/1994,1994,33.82,-100.52
Weaver Mountains,Iron IVB,ATAX,38800,Found,1/1/1898,1898,34.25,-112.75
Kokomo,Iron IVB,ATAX,1800,Found,1/1/1862,1862,40.48,-86.37
Skookum,Iron IVB,ATAX,16000,Found,1/1/1905,1905,63.92,-139.33
Graves Nunataks 98102,CK4,CK,7,Found,1/1/1998,1998,-86.72,-141.5
Graves Nunataks 98005,CM2,CM,202.9,Found,1/1/1998,1998,-86.72,-141.5
Graves Nunataks 98074,CM2,CM,51.9,Found,1/1/1998,1998,-86.72,-141.5
Graves Nunataks 95229,CR2,CR,128.9,Found,1/1/1995,1995,-86.72,-141.5
Graves Nunataks 98025,CR2,CR,14.4,Found,1/1/1998,1998,-86.72,-141.5
Wisconsin Range 91600,CM2,CM,184.1,Found,1/1/1991,1991,-86.54,-124.22
Wisconsin Range 91608,CM2,CM,106.7,Found,1/1/1991,1991,-86.52,-123.97
LaPaz Icefield 02277,CM1,CM,7.76,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02422,CM1,CM,1.99,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02333,CM2,CM,131.4,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02336,CM2,CM,85.56,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02239,CM2,CM,39.3,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02349,CM2,CM,26.01,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02269,CM2,CM,24.24,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02308,CM2,CM,14.15,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02302,CM2,CM,7.86,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02348,CM2,CM,6.86,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02342,CR2,CR,42.42,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02206,CV3,CV,1284.6,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 02228,CV3,CV,335.8,Found,1/1/2002,2002,-86.37,-70
Pecora Escarpment 82500,CK4/5,CK,90.9,Found,1/1/1982,1982,-85.69,-68.81
Pecora Escarpment 91008,CM2,CM,51.7,Found,1/1/1991,1991,-85.68,-69.08
Pecora Escarpment 91084,CM2,CM,34.4,Found,1/1/1991,1991,-85.68,-69.08
Pecora Escarpment 91328,CH3,CH,11,Found,1/1/1991,1991,-85.68,-69.07
Pecora Escarpment 91452,CH3,CH,7.2,Found,1/1/1991,1991,-85.68,-69.07
Pecora Escarpment 91327,CM2,CM,5.2,Found,1/1/1991,1991,-85.68,-69.07
Pecora Escarpment 91467,CH3,CH,46.9,Found,1/1/1991,1991,-85.68,-69.06
Pecora Escarpment 91147,CM2,CM,2.8,Found,1/1/1991,1991,-85.68,-69.05
Pecora Escarpment 91203,CM2,CM,4.2,Found,1/1/1991,1991,-85.68,-68.78
Pecora Escarpment 91470,CK4,CK,33.5,Found,1/1/1991,1991,-85.68,-68.27
Grosvenor Mountains 95566,C2-ung,OC,50.7,Found,1/1/1995,1995,-85.67,175
Grosvenor Mountains 95551,Chondrite-ung,OC,213.4,Found,1/1/1995,1995,-85.67,175
Grosvenor Mountains 95645,CM1,CM,2.42,Found,1/1/1995,1995,-85.67,175
Grosvenor Mountains 85202,CM2,CM,27.2,Found,1/1/1985,1985,-85.67,175
Grosvenor Mountains 95577,CR1,CR,106.2,Found,1/1/1995,1995,-85.67,175
Grosvenor Mountains 95652,CV3,CV,93.33,Found,1/1/1995,1995,-85.67,175
Pecora Escarpment 91082,CR2,CR,37.9,Found,1/1/1991,1991,-85.64,-68.5
Pecora Escarpment 02010,CM2,CM,70.8,Found,1/1/2002,2002,-85.63,-68.7
Pecora Escarpment 02012,CM2,CM,58.9,Found,1/1/2002,2002,-85.63,-68.7
Pecora Escarpment 02050,CM2,CM,9.78,Found,1/1/2002,2002,-85.63,-68.7
Pecora Escarpment 02011,CM2,CM,2.6,Found,1/1/2002,2002,-85.63,-68.7
Elephant Moraine 92188,CR2,CR,0.3,Found,1/1/1992,1992,-85.63,157.17
Thiel Mountains 91722,CM2,CM,47.4,Found,1/1/1991,1991,-85.16,-94.61
Thiel Mountains 07007,CV3,CV,18,Found,1/1/2007,2007,-85.16,-94.61
Queen Alexandra Range 93005,CM2,CM,13.4,Found,1/1/1993,1993,-84.62,162.02
Queen Alexandra Range 93007,CK5,CK,3.1,Found,1/1/1993,1993,-84.61,162.14
Queen Alexandra Range 93004,CM2,CM,3.5,Found,1/1/1993,1993,-84.6,162.15
Queen Alexandra Range 93429,CV3,CV,7.8,Found,1/1/1993,1993,-84.6,162.19
Patuxent Range 91546,CH3,CH,17.9,Found,1/1/1991,1991,-84.58,-62.15
Queen Alexandra Range 93006,CM2,CM,2.7,Found,1/1/1993,1993,-84.58,162.57
Lewis Cliff 87148,CM2,CM,42.5,Found,1/1/1987,1987,-84.36,161.22
Lewis Cliff 87009,CK6,CK,50.5,Found,1/1/1987,1987,-84.36,161.29
Lewis Cliff 87241,Chondrite-fusion crust,OC,0.5,Found,1/1/1987,1987,-84.35,161.31
Lewis Cliff 87025,CM2,CM,0.9,Found,1/1/1987,1987,-84.35,161.32
Lewis Cliff 87027,CM2,CM,0.8,Found,1/1/1987,1987,-84.35,161.4
Lewis Cliff 87214,CK4,CK,0.4,Found,1/1/1987,1987,-84.34,161.25
Lewis Cliff 87271,CM2,CM,0.9,Found,1/1/1987,1987,-84.34,161.25
Lewis Cliff 87022,CM2,CM,75.4,Found,1/1/1987,1987,-84.34,161.3
Lewis Cliff 87001,CM2,CM,4,Found,1/1/1987,1987,-84.34,161.36
Lewis Cliff 87008,CM2,CM,1.4,Found,1/1/1987,1987,-84.34,161.36
Lewis Cliff 87003,CM2,CM,2.1,Found,1/1/1987,1987,-84.34,161.38
Lewis Cliff 87028,CM2,CM,1.2,Found,1/1/1987,1987,-84.34,161.38
Lewis Cliff 87250,CK4,CK,1.7,Found,1/1/1987,1987,-84.34,161.4
Lewis Cliff 87249,CM2,CM,3.1,Found,1/1/1987,1987,-84.34,161.41
Lewis Cliff 87167,CM2,CM,1.4,Found,1/1/1987,1987,-84.34,161.44
Lewis Cliff 85332,C3-ung,OC,113.7,Found,1/1/1985,1985,-84.29,161.34
Lewis Cliff 90500,CM2,CM,294.7,Found,1/1/1990,1990,-84.29,161.52
Lewis Cliff 87016,CM2,CM,16.8,Found,1/1/1987,1987,-84.28,161.08
Lewis Cliff 85306,CM2,CM,6.5,Found,1/1/1985,1985,-84.28,161.37
Lewis Cliff 88002,CM2,CM,7.2,Found,1/1/1988,1988,-84.28,161.37
Lewis Cliff 85307,CM2,CM,1.7,Found,1/1/1985,1985,-84.28,161.41
Lewis Cliff 88001,CM2,CM,44.9,Found,1/1/1988,1988,-84.28,161.45
Lewis Cliff 85309,CM2,CM,54.1,Found,1/1/1985,1985,-84.28,161.68
Lewis Cliff 88003,CM2,CM,1.7,Found,1/1/1988,1988,-84.27,161.38
Lewis Cliff 85312,CM2,CM,31.7,Found,1/1/1985,1985,-84.27,161.45
Lewis Cliff 85311,CM2,CM,199.5,Found,1/1/1985,1985,-84.27,161.46
Lewis Cliff 86008,CM2,CM,5.6,Found,1/1/1986,1986,-84.26,161.41
Lewis Cliff 86005,CM2,CM,4.7,Found,1/1/1986,1986,-84.26,161.42
Lewis Cliff 86009,CM2,CM,6.5,Found,1/1/1986,1986,-84.26,161.43
Lewis Cliff 86007,CM2,CM,1.6,Found,1/1/1986,1986,-84.26,161.43
Lewis Cliff 86006,CV3,CV,0.8,Found,1/1/1986,1986,-84.26,161.47
Lewis Cliff 86258,CK4,CK,24.1,Found,1/1/1986,1986,-84.25,161.37
Lewis Cliff 86004,CM2,CM,2.1,Found,1/1/1986,1986,-84.25,161.44
MacAlpine Hills 87300,C2-ung,OC,167.5,Found,1/1/1987,1987,-84.22,160.5
MacAlpine Hills 87301,C3-ung,OC,110.9,Found,1/1/1987,1987,-84.22,160.5
MacAlpine Hills 88107,C3-ung,OC,192.8,Found,1/1/1988,1988,-84.22,160.5
MacAlpine Hills 88100,CM2,CM,177.3,Found,1/1/1988,1988,-84.22,160.5
MacAlpine Hills 88176,CM2,CM,37.9,Found,1/1/1988,1988,-84.22,160.5
MacAlpine Hills 88101,CM2,CM,20.9,Found,1/1/1988,1988,-84.22,160.5
MacAlpine Hills 02535,CM2,CM,14.4,Found,1/1/2002,2002,-84.22,160.5
MacAlpine Hills 02701,CM2,CM,10.11,Found,1/1/2002,2002,-84.22,160.5
MacAlpine Hills 02606,CM2,CM,7.2,Found,1/1/2002,2002,-84.22,160.5
MacAlpine Hills 02658,CM2,CM,1.27,Found,1/1/2002,2002,-84.22,160.5
MacAlpine Hills 02552,CM2,CM,0.3,Found,1/1/2002,2002,-84.22,160.5
MacAlpine Hills 87320,CR2,CR,16.2,Found,1/1/1987,1987,-84.22,160.5
MacAlpine Hills 02528,CV3,CV,5.61,Found,1/1/2002,2002,-84.22,160.5
Queen Alexandra Range 94411,CBb,CB,39.7,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 94627,CBb,CB,30.5,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 99309,CBb,CB,1.75,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99679,CK4,CK,3.7,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99675,CK4,CK,1.7,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99676,CK4,CK,1.7,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99678,CK4,CK,1.6,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99677,CK4,CK,1.3,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99680,CK5,CK,15.7,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99681,CK5,CK,4,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 93017,CM2,CM,8.8,Found,1/1/1993,1993,-84,168
Queen Alexandra Range 93018,CM2,CM,1.3,Found,1/1/1993,1993,-84,168
Queen Alexandra Range 94734,CM2,CM,11.2,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 94582,CM2,CM,7.1,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 94222,CM2,CM,4.8,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 94220,CM2,CM,2.6,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 97003,CM2,CM,1384.3,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97990,CM2,CM,67.3,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97077,CM2,CM,20,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97005,CM2,CM,13.9,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97657,CM2,CM,3.5,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97621,CM2,CM,2.8,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97676,CM2,CM,2.4,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 97958,CM2,CM,1.8,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 99355,CM2,CM,32.4,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99113,CM2,CM,23.2,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99886,CM2,CM,15.3,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99443,CM2,CM,8.7,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99342,CM2,CM,1.7,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 99752,CM2,CM,1.38,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 97416,CO3,CO,12.3,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 94603,CR2,CR,1.7,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 99177,CR2,CR,43.6,Found,1/1/1999,1999,-84,168
Queen Alexandra Range 93744,CV3,CV,7.7,Found,1/1/1993,1993,-84,168
Queen Alexandra Range 93639,CV3,CV,1.6,Found,1/1/1993,1993,-84,168
Queen Alexandra Range 94366,CV3,CV,72.6,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 94688,CV3,CV,10.6,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 94546,CV3,CV,1.8,Found,1/1/1994,1994,-84,168
Queen Alexandra Range 97186,CV3,CV,72.7,Found,1/1/1997,1997,-84,168
Queen Alexandra Range 99038,CV3,CV,52.7,Found,1/1/1999,1999,-84,168
Lonewolf Nunataks 94101,CM2,CM,2804.6,Found,1/1/1994,1994,-81.33,152.83
Lonewolf Nunataks 94102,CM2,CM,941.6,Found,1/1/1994,1994,-81.33,152.83
Meteorite Hills 00739,CK4,CK,9.21,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00432,CM2,CM,38.9,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00431,CM2,CM,23.4,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00633,CM2,CM,20.44,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00639,CM2,CM,13.43,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00433,CM2,CM,10.9,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00630,CM2,CM,10.8,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00632,CM2,CM,9.08,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 001012,CM2,CM,7.1,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00434,CM2,CM,6.1,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00810,CM2,CM,5.91,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00781,CM2,CM,5.36,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00435,CM2,CM,2.4,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00635,CM2,CM,2.27,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 001087,CM2,CM,1.6,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00737,CO3.6,CO,23.24,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00694,CO3.6,CO,15.87,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00426,CR2,CR,31.3,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00761,CV3,CV,5.98,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00747,CV3,CV,5.04,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00634,CV3,CV,3.06,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 00742,CV3,CV,1.19,Found,1/1/2000,2000,-79.68,155.75
Meteorite Hills 01070,CM1,CM,40.6,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01073,CM1,CM,15.7,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01079,CM1,CM,11.5,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01072,CM2,CM,38.5,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01075,CM2,CM,29.9,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01078,CM2,CM,19.5,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01077,CM2,CM,18.9,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01076,CM2,CM,9.2,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01071,CM2,CM,4.5,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 00711,CO3,CO,17,Found,1/1/2000,2000,-79.68,159.75
Meteorite Hills 00430,CV3,CV,151.7,Found,1/1/2000,2000,-79.68,159.75
Meteorite Hills 00429,CV3,CV,30.5,Found,1/1/2000,2000,-79.68,159.75
Meteorite Hills 01074,CV3,CV,46.2,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01080,CV3,CV,3.4,Found,1/1/2001,2001,-79.68,159.75
Meteorite Hills 01017,CV3-an,CV,238,Found,1/1/2001,2001,-79.68,159.75
Allan Hills 83108,CO3.5,CO,1519.4,Found,1/1/1983,1983,-77.05,157.08
Allan Hills 84044,CM2,CM,147.4,Found,1/1/1984,1984,-77.04,157.07
Allan Hills 84029,CM2,CM,119.8,Found,1/1/1984,1984,-77.04,157.07
Allan Hills 84042,CM2,CM,51.3,Found,1/1/1984,1984,-77.04,157.07
Allan Hills 84034,CM2,CM,44.1,Found,1/1/1984,1984,-77.04,157.07
